moeder	20857		20857	0.000279268	ngram	1	0.000288573
meede	20817		20817	0.000278732	ngram	1	0.00028802
opt	20784		20784	0.00027829	ngram	1	0.000287563
schipper	20725		20725	0.0002775	ngram	1	0.000286747
naam	20694		20694	0.000277085	ngram	1	0.000286318
boedel	20632		20632	0.000276255	ngram	1	0.00028546
Gepasseert	20630		20630	0.000276228	ngram	1	0.000285432
worden	20581		20581	0.000275572	ngram	1	0.000284754
wonende	20449		20449	0.000273805	ngram	1	0.000282928
g	20431		20431	0.000273564	ngram	1	0.000282679
Capl	20398		20398	0.000273122	ngram	1	0.000282222
steede	20248		20248	0.000271113	ngram	1	0.000280147
stuijvers	20053		20053	0.000268502	ngram	1	0.000277449
persoonen	19984		19984	0.000267579	ngram	1	0.000276494
eene	19883		19883	0.000266226	ngram	1	0.000275097
part	19787		19787	0.000264941	ngram	1	0.000273769
vijf	19761		19761	0.000264593	ngram	1	0.000273409
obligatien	19741		19741	0.000264325	ngram	1	0.000273132
vant	19735		19735	0.000264245	ngram	1	0.000273049
gedateert	19705		19705	0.000263843	ngram	1	0.000272634
plaetse	19624		19624	0.000262758	ngram	1	0.000271513
David	19577		19577	0.000262129	ngram	1	0.000270863
18	19527		19527	0.00026146	ngram	1	0.000270171
verclaerde	19457		19457	0.000260522	ngram	1	0.000269203
dienst	19435		19435	0.000260228	ngram	1	0.000268898
nalatenschap	19434		19434	0.000260214	ngram	1	0.000268885
20	19423		19423	0.000260067	ngram	1	0.000268732
getuijge	19191		19191	0.000256961	ngram	1	0.000265523
portie	19127		19127	0.000256104	ngram	1	0.000264637
Stede	19108		19108	0.000255849	ngram	1	0.000264374
Huijden	19082		19082	0.000255501	ngram	1	0.000264014
hoe	18972		18972	0.000254028	ngram	1	0.000262492
Aldus	18904		18904	0.000253118	ngram	1	0.000261552
vader	18886		18886	0.000252877	ngram	1	0.000261303
manieren	18820		18820	0.000251993	ngram	1	0.000260389
ander	18809		18809	0.000251846	ngram	1	0.000260237
Catharina	18773		18773	0.000251364	ngram	1	0.000259739
langstlevende	18754		18754	0.000251109	ngram	1	0.000259476
somma	18731		18731	0.000250801	ngram	1	0.000259158
huijse	18667		18667	0.000249944	ngram	1	0.000258273
handen	18664		18664	0.000249904	ngram	1	0.000258231
vrijen	18654		18654	0.00024977	ngram	1	0.000258093
fol.	18637		18637	0.000249543	ngram	1	0.000257857
verclaerden	18553		18553	0.000248418	ngram	1	0.000256695
gelegen	18508		18508	0.000247815	ngram	1	0.000256073
Notario	18494		18494	0.000247628	ngram	1	0.000255879
deese	18429		18429	0.000246758	ngram	1	0.00025498
residerende	18363		18363	0.000245874	ngram	1	0.000254066
verband	18339		18339	0.000245553	ngram	1	0.000253734
voornoemde	18270		18270	0.000244629	ngram	1	0.00025278
procuratie	18239		18239	0.000244214	ngram	1	0.000252351
andersints	18206		18206	0.000243772	ngram	1	0.000251894
geven	18200		18200	0.000243691	ngram	1	0.000251811
Dirk	18180		18180	0.000243424	ngram	1	0.000251535
soon	18106		18106	0.000242433	ngram	1	0.000250511
14	18011		18011	0.000241161	ngram	1	0.000249196
Hendrick	17998		17998	0.000240987	ngram	1	0.000249016
versoecke	17991		17991	0.000240893	ngram	1	0.00024892
verder	17868		17868	0.000239246	ngram	1	0.000247218
